Method,Threshold,Recall,Precision,F1,TP,FP
GraphShadow,0.99,0.7121535181236673,0.8743455497382199,0.7849588719153936,334,48
GraphShadow,0.95,0.8784648187633263,0.8619246861924686,0.870116156282999,412,66
GraphShadow,0.9,0.997867803837953,0.5598086124401914,0.7172413793103449,468,368
GraphShadow,0.7,1.0,0.5530660377358491,0.7122247532270312,469,379
GraphShadow,0.5,1.0,0.5176600441501104,0.6821818181818181,469,437
GraphShadow,0.3,1.0,0.5081256771397616,0.6738505747126436,469,454
GraphShadow,0.1,1.0,0.5043010752688172,0.6704789135096497,469,461
GraphShadow,0.05,1.0,0.4727822580645161,0.6420260095824778,469,523
BlockWhisper,0.99,0.3473684210526316,1.0,0.515625,33,0
BlockWhisper,0.95,0.3473684210526316,1.0,0.515625,33,0
BlockWhisper,0.9,0.3473684210526316,0.9428571428571428,0.5076923076923078,33,2
BlockWhisper,0.7,0.3473684210526316,0.8918918918918919,0.5000000000000001,33,4
BlockWhisper,0.5,0.4105263157894737,0.11746987951807229,0.18266978922716628,39,293
BlockWhisper,0.3,0.42105263157894735,0.013995801259622114,0.027091093802912292,40,2818
BlockWhisper,0.1,0.9894736842105263,0.010234077299945563,0.02025862068965517,94,9091
BlockWhisper,0.05,0.9894736842105263,0.010172059300941456,0.020137103684661525,94,9147
DDSAC,0.99,1.0,0.9936908517350158,0.9968354430379747,630,4
DDSAC,0.95,1.0,0.9936908517350158,0.9968354430379747,630,4
DDSAC,0.9,1.0,0.9936908517350158,0.9968354430379747,630,4
DDSAC,0.7,1.0,0.9936908517350158,0.9968354430379747,630,4
DDSAC,0.5,1.0,0.989010989010989,0.994475138121547,630,7
DDSAC,0.3,1.0,0.9797822706065319,0.9897879025923016,630,13
DDSAC,0.1,1.0,0.9797822706065319,0.9897879025923016,630,13
DDSAC,0.05,1.0,0.9797822706065319,0.9897879025923016,630,13
GBCTD,0.99,0.9804560260586319,0.9495268138801262,0.9647435897435898,301,16
GBCTD,0.95,0.9837133550488599,0.949685534591195,0.9663999999999999,302,16
GBCTD,0.9,0.9837133550488599,0.940809968847352,0.961783439490446,302,19
GBCTD,0.7,0.996742671009772,0.918918918918919,0.95625,306,27
GBCTD,0.5,0.996742671009772,0.9080118694362018,0.9503105590062112,306,31
GBCTD,0.3,0.996742671009772,0.9026548672566371,0.9473684210526315,306,33
GBCTD,0.1,1.0,0.850415512465374,0.9191616766467066,307,54
GBCTD,0.05,1.0,0.7172897196261683,0.835374149659864,307,121
