Method,Thr,Recall,Prec,F1,TP,FP,TN,FN
Normal,0.99,0.0,0.0,0.0,0,0,500,500
Normal,0.9,0.0,0.0,0.0,0,0,500,500
Normal,0.5,0.0,0.0,0.0,0,0,500,500
BlockWhisper,0.99,0.17,1.0,0.2905982905982906,85,0,500,415
BlockWhisper,0.9,0.64,1.0,0.7804878048780487,320,0,500,180
BlockWhisper,0.5,0.64,0.9968847352024922,0.779537149817296,320,1,499,180
GraphShadow,0.99,0.0,0.0,0.0,0,0,500,500
GraphShadow,0.9,0.0,0.0,0.0,0,0,500,500
GraphShadow,0.5,0.724,0.9731182795698925,0.8302752293577982,362,10,490,138
DDSAC,0.99,0.0,0.0,0.0,0,0,500,500
DDSAC,0.9,0.0,0.0,0.0,0,0,500,500
DDSAC,0.5,1.0,0.970873786407767,0.9852216748768473,500,15,485,0
GBCTD,0.99,0.046,0.9583333333333334,0.08778625954198474,23,1,499,477
GBCTD,0.9,0.64,0.9968847352024922,0.779537149817296,320,1,499,180
GBCTD,0.5,0.992,0.9880478087649402,0.9900199600798404,496,6,494,4
