Method,Thr,Recall,Prec,F1,TP,FP,TN,FN
Normal,0.99,0.0,0.0,0.0,0,0,500,500
Normal,0.95,0.0,0.0,0.0,0,0,500,500
Normal,0.9,0.0,0.0,0.0,0,0,500,500
Normal,0.7,0.0,0.0,0.0,0,0,500,500
Normal,0.5,0.0,0.0,0.0,0,0,500,500
Normal,0.3,0.0,0.0,0.0,0,0,500,500
Normal,0.1,0.986,0.49898785425101216,0.6626344086021505,493,495,5,7
BlockWhisper,0.99,0.0,0.0,0.0,0,0,500,500
BlockWhisper,0.95,0.0,0.0,0.0,0,0,500,500
BlockWhisper,0.9,0.0,0.0,0.0,0,0,500,500
BlockWhisper,0.7,0.0,0.0,0.0,0,0,500,500
BlockWhisper,0.5,0.62,0.9904153354632588,0.7626076260762609,310,3,497,190
BlockWhisper,0.3,0.638,0.9906832298136646,0.7761557177615572,319,3,497,181
BlockWhisper,0.1,0.64,0.9907120743034056,0.7776427703523694,320,3,497,180
GraphShadow,0.99,0.0,0.0,0.0,0,0,500,500
GraphShadow,0.95,0.0,0.0,0.0,0,0,500,500
GraphShadow,0.9,0.0,0.0,0.0,0,0,500,500
GraphShadow,0.7,0.0,0.0,0.0,0,0,500,500
GraphShadow,0.5,0.468,0.970954356846473,0.631578947368421,234,7,493,266
GraphShadow,0.3,1.0,0.7309941520467836,0.8445945945945946,500,184,316,0
GraphShadow,0.1,1.0,0.7309941520467836,0.8445945945945946,500,184,316,0
DDSAC,0.99,0.0,0.0,0.0,0,0,500,500
DDSAC,0.95,0.0,0.0,0.0,0,0,500,500
DDSAC,0.9,0.0,0.0,0.0,0,0,500,500
DDSAC,0.7,1.0,0.9861932938856016,0.9930486593843098,500,7,493,0
DDSAC,0.5,1.0,0.984251968503937,0.9920634920634921,500,8,492,0
DDSAC,0.3,1.0,0.984251968503937,0.9920634920634921,500,8,492,0
DDSAC,0.1,1.0,0.984251968503937,0.9920634920634921,500,8,492,0
GBCTD,0.99,0.0,0.0,0.0,0,0,500,500
GBCTD,0.95,0.0,0.0,0.0,0,0,500,500
GBCTD,0.9,0.0,0.0,0.0,0,0,500,500
GBCTD,0.7,0.0,0.0,0.0,0,0,500,500
GBCTD,0.5,0.646,0.9938461538461538,0.783030303030303,323,2,498,177
GBCTD,0.3,0.65,0.9908536585365854,0.7850241545893719,325,3,497,175
GBCTD,0.1,0.996,0.784251968503937,0.8775330396475771,498,137,363,2
