Method,Thr,Recall,Prec,F1,TP,FP,TN,FN
BlockWhisper,0.01,1.0,0.8129496402877698,0.8968253968253969,226,52,174,0
BlockWhisper,0.1,1.0,0.904,0.9495798319327732,226,24,202,0
BlockWhisper,0.3,1.0,0.9300411522633745,0.9637526652452025,226,17,209,0
BlockWhisper,0.5,1.0,0.9416666666666667,0.9699570815450643,226,14,212,0
BlockWhisper,0.7,1.0,0.9576271186440678,0.9783549783549783,226,10,216,0
BlockWhisper,0.9,1.0,0.9699570815450643,0.9847494553376905,226,7,219,0
BlockWhisper,0.95,1.0,0.9741379310344828,0.9868995633187774,226,6,220,0
BlockWhisper,0.99,0.9690265486725663,0.9864864864864865,0.9776785714285714,219,3,223,7
GraphShadow,0.01,1.0,0.5,0.6666666666666666,226,226,0,0
GraphShadow,0.1,0.995575221238938,0.49889135254988914,0.6646971935007385,225,226,0,1
GraphShadow,0.3,0.9601769911504425,0.5023148148148148,0.6595744680851064,217,215,11,9
GraphShadow,0.5,0.415929203539823,0.5802469135802469,0.4845360824742268,94,68,158,132
GraphShadow,0.7,0.017699115044247787,1.0,0.034782608695652174,4,0,226,222
GraphShadow,0.9,0.0,0.0,0.0,0,0,226,226
GraphShadow,0.95,0.0,0.0,0.0,0,0,226,226
GraphShadow,0.99,0.0,0.0,0.0,0,0,226,226
DDSAC,0.01,1.0,0.5,0.6666666666666666,226,226,0,0
DDSAC,0.1,1.0,0.5,0.6666666666666666,226,226,0,0
DDSAC,0.3,1.0,0.5011086474501109,0.6676514032496308,226,225,1,0
DDSAC,0.5,0.8407079646017699,0.5163043478260869,0.6397306397306397,190,178,48,36
DDSAC,0.7,0.07079646017699115,0.8421052631578947,0.13061224489795917,16,3,223,210
DDSAC,0.9,0.01327433628318584,1.0,0.026200873362445417,3,0,226,223
DDSAC,0.95,0.0,0.0,0.0,0,0,226,226
DDSAC,0.99,0.0,0.0,0.0,0,0,226,226
GBCTD,0.01,1.0,0.509009009009009,0.6746268656716419,226,218,8,0
GBCTD,0.1,0.9823008849557522,0.5951742627345844,0.7412353923205341,222,151,75,4
GBCTD,0.3,0.8539823008849557,0.7568627450980392,0.8024948024948024,193,62,164,33
GBCTD,0.5,0.6902654867256637,0.78,0.732394366197183,156,44,182,70
GBCTD,0.7,0.42035398230088494,0.811965811965812,0.5539358600583091,95,22,204,131
GBCTD,0.9,0.11946902654867257,0.8709677419354839,0.21011673151750976,27,4,222,199
GBCTD,0.95,0.0752212389380531,1.0,0.13991769547325103,17,0,226,209
GBCTD,0.99,0.030973451327433628,1.0,0.060085836909871244,7,0,226,219
