Method,Thr,Recall,Prec,F1,TP,FP,TN,FN,FPR
BlockWhisper,0.99,0.008,1.0,0.015873015873015872,4,0,500,496,0.0
BlockWhisper,0.95,0.282,1.0,0.4399375975039001,141,0,500,359,0.0
BlockWhisper,0.9,0.42,1.0,0.5915492957746479,210,0,500,290,0.0
BlockWhisper,0.7,0.572,1.0,0.727735368956743,286,0,500,214,0.0
BlockWhisper,0.5,0.616,1.0,0.7623762376237623,308,0,500,192,0.0
BlockWhisper,0.3,0.628,1.0,0.7714987714987714,314,0,500,186,0.0
BlockWhisper,0.1,0.638,0.996875,0.7780487804878048,319,1,499,181,0.002
BlockWhisper,0.05,0.96,0.817717206132879,0.8831646734130635,480,107,393,20,0.214
BlockWhisper,0.01,0.962,0.8180272108843537,0.8841911764705882,481,107,393,19,0.214
GraphShadow,0.99,0.0,0.0,0.0,0,0,500,500,0.0
GraphShadow,0.95,0.0,0.0,0.0,0,0,500,500,0.0
GraphShadow,0.9,0.0,0.0,0.0,0,0,500,500,0.0
GraphShadow,0.7,0.802,0.9828431372549019,0.8832599118942731,401,7,493,99,0.014
GraphShadow,0.5,0.952,0.9694501018329938,0.9606458123107972,476,15,485,24,0.03
GraphShadow,0.3,0.966,0.9378640776699029,0.9517241379310344,483,32,468,17,0.064
GraphShadow,0.1,0.968,0.9166666666666666,0.9416342412451363,484,44,456,16,0.088
GraphShadow,0.05,0.99,0.7522796352583586,0.854922279792746,495,163,337,5,0.326
GraphShadow,0.01,0.994,0.7518910741301059,0.8561584840654608,497,164,336,3,0.328
DDSAC,0.99,0.0,0.0,0.0,0,0,500,500,0.0
DDSAC,0.95,0.0,0.0,0.0,0,0,500,500,0.0
DDSAC,0.9,0.0,0.0,0.0,0,0,500,500,0.0
DDSAC,0.7,1.0,0.9940357852882704,0.9970089730807578,500,3,497,0,0.006
DDSAC,0.5,1.0,0.9940357852882704,0.9970089730807578,500,3,497,0,0.006
DDSAC,0.3,1.0,0.9940357852882704,0.9970089730807578,500,3,497,0,0.006
DDSAC,0.1,1.0,0.9920634920634921,0.9960159362549801,500,4,496,0,0.008
DDSAC,0.05,1.0,0.9920634920634921,0.9960159362549801,500,4,496,0,0.008
DDSAC,0.01,1.0,0.9900990099009901,0.9950248756218906,500,5,495,0,0.01
GBCTD,0.99,0.55,0.9892086330935251,0.7069408740359898,275,3,497,225,0.006
GBCTD,0.95,0.658,0.9909638554216867,0.7908653846153846,329,3,497,171,0.006
GBCTD,0.9,0.676,0.9825581395348837,0.8009478672985781,338,6,494,162,0.012
GBCTD,0.7,0.996,0.9880952380952381,0.9920318725099602,498,6,494,2,0.012
GBCTD,0.5,0.996,0.9880952380952381,0.9920318725099602,498,6,494,2,0.012
GBCTD,0.3,0.996,0.9880952380952381,0.9920318725099602,498,6,494,2,0.012
GBCTD,0.1,0.996,0.9880952380952381,0.9920318725099602,498,6,494,2,0.012
GBCTD,0.05,0.996,0.9880952380952381,0.9920318725099602,498,6,494,2,0.012
GBCTD,0.01,0.998,0.810064935064935,0.8942652329749103,499,117,383,1,0.234
