Method,Thr,Recall,Prec,F1,TP,FP,TN,FN
GBCTD,0.99,0.0,0.0,0.0,0,0,226,226
GBCTD,0.9,0.0,0.0,0.0,0,0,226,226
GBCTD,0.8,0.0,0.0,0.0,0,0,226,226
GBCTD,0.7,0.10619469026548672,0.5454545454545454,0.17777777777777778,24,20,206,202
GBCTD,0.6,0.9601769911504425,0.7380952380952381,0.8346153846153846,217,77,149,9
GBCTD,0.5,0.9778761061946902,0.7106109324758842,0.8230912476722532,221,90,136,5
GBCTD,0.4,0.9867256637168141,0.7034700315457413,0.8213627992633518,223,94,132,3
GBCTD,0.3,0.995575221238938,0.6880733944954128,0.81374321880651,225,102,124,1
GBCTD,0.2,1.0,0.6627565982404692,0.7971781305114639,226,115,111,0
GBCTD,0.1,1.0,0.6384180790960452,0.7793103448275862,226,128,98,0
GBCTD,0.05,1.0,0.6277777777777778,0.7713310580204779,226,134,92,0
GBCTD,0.01,1.0,0.6026666666666667,0.7520798668885191,226,149,77,0
