Method,Thr,Recall,Prec,F1,TP,FP,TN,FN,FPR
GraphShadow,0.99,0.0,0.0,0.0,0,0,5000,720,0.0
GraphShadow,0.95,0.027777777777777776,1.0,0.05405405405405406,20,0,5000,700,0.0
GraphShadow,0.9,0.3402777777777778,0.9423076923076923,0.5,245,15,4985,475,0.003
GraphShadow,0.7,0.7472222222222222,0.8102409638554217,0.777456647398844,538,126,4874,182,0.0252
GraphShadow,0.5,0.8819444444444444,0.7479387514723204,0.8094327597195666,635,214,4786,85,0.0428
GraphShadow,0.3,0.975,0.6335740072202166,0.7680525164113786,702,406,4594,18,0.0812
GraphShadow,0.1,0.9972222222222222,0.5099431818181818,0.674812030075188,718,690,4310,2,0.138
GraphShadow,0.05,1.0,0.45311516677155445,0.6236466002598527,720,869,4131,0,0.1738
GraphShadow,0.01,1.0,0.4366282595512432,0.6078514140987759,720,929,4071,0,0.1858
BlockWhisper,0.99,1.0,0.967741935483871,0.9836065573770492,60,2,4998,0,0.0004
BlockWhisper,0.95,1.0,0.9523809523809523,0.975609756097561,60,3,4997,0,0.0006
BlockWhisper,0.9,1.0,0.9523809523809523,0.975609756097561,60,3,4997,0,0.0006
BlockWhisper,0.7,1.0,0.9375,0.967741935483871,60,4,4996,0,0.0008
BlockWhisper,0.5,1.0,0.9375,0.967741935483871,60,4,4996,0,0.0008
BlockWhisper,0.3,1.0,0.9230769230769231,0.9600000000000001,60,5,4995,0,0.001
BlockWhisper,0.1,1.0,0.8955223880597015,0.9448818897637796,60,7,4993,0,0.0014
BlockWhisper,0.05,1.0,0.8823529411764706,0.9375,60,8,4992,0,0.0016
BlockWhisper,0.01,1.0,0.8695652173913043,0.9302325581395349,60,9,4991,0,0.0018
DDSAC,0.99,0.0,0.0,0.0,0,0,5000,960,0.0
DDSAC,0.95,1.0,0.9876543209876543,0.9937888198757764,960,12,4988,0,0.0024
DDSAC,0.9,1.0,0.9775967413441955,0.9886714727085478,960,22,4978,0,0.0044
DDSAC,0.7,1.0,0.9706774519716885,0.9851205746536685,960,29,4971,0,0.0058
DDSAC,0.5,1.0,0.9667673716012085,0.9831029185867897,960,33,4967,0,0.0066
DDSAC,0.3,1.0,0.963855421686747,0.9815950920245399,960,36,4964,0,0.0072
DDSAC,0.1,1.0,0.9619238476953907,0.9805924412665985,960,38,4962,0,0.0076
DDSAC,0.05,1.0,0.9619238476953907,0.9805924412665985,960,38,4962,0,0.0076
DDSAC,0.01,1.0,0.9561752988047809,0.9775967413441955,960,44,4956,0,0.0088
GBCTD,0.99,0.17716535433070865,0.989010989010989,0.3005008347245409,180,2,4998,836,0.0004
GBCTD,0.95,0.3021653543307087,0.9746031746031746,0.4613072877535687,307,8,4992,709,0.0016
GBCTD,0.9,0.452755905511811,0.8949416342412452,0.6013071895424836,460,54,4946,556,0.0108
GBCTD,0.7,0.9665354330708661,0.875222816399287,0.9186155285313378,982,140,4860,34,0.028
GBCTD,0.5,0.9753937007874016,0.8662587412587412,0.9175925925925926,991,153,4847,25,0.0306
GBCTD,0.3,0.9862204724409449,0.8534923339011925,0.9150684931506848,1002,172,4828,14,0.0344
GBCTD,0.1,0.9901574803149606,0.7206303724928367,0.8341625207296849,1006,390,4610,10,0.078
GBCTD,0.05,0.9940944881889764,0.5868680999418943,0.7380343441724515,1010,711,4289,6,0.1422
GBCTD,0.01,0.9990157480314961,0.4718735471873547,0.6409851594568992,1015,1136,3864,1,0.2272
